,latitude,longitude,scientific_name,common_name
87,3.018759972,101.616835,Pontederia crassipes,common water hyacinth
88,5.2796449,100.4954207,Pontederia crassipes,common water hyacinth
89,3.148776671,101.6111587,Pontederia crassipes,common water hyacinth
90,3.100440264,101.4083176,Pontederia crassipes,common water hyacinth
91,1.552838724,103.6405198,Pontederia crassipes,common water hyacinth
92,4.331294,101.1372865,Pontederia crassipes,common water hyacinth
93,5.4380309,100.388192,Pontederia crassipes,common water hyacinth
94,5.923630578,102.2497377,Pontederia crassipes,common water hyacinth
95,5.389379934,100.5635458,Pontederia crassipes,common water hyacinth
96,3.825866222,103.3472977,Pontederia crassipes,common water hyacinth
97,6.3941551,116.4579326,Pontederia crassipes,common water hyacinth
98,5.505158923,118.2702146,Pontederia crassipes,common water hyacinth
99,5.482294,118.256301,Pontederia crassipes,common water hyacinth
100,3.185936667,101.6296,Pontederia crassipes,common water hyacinth
101,4.603202392,101.081851,Pontederia crassipes,common water hyacinth
102,1.69078608,103.5127601,Pontederia crassipes,common water hyacinth
103,6.440604752,100.1983709,Pontederia crassipes,common water hyacinth
104,5.867150268,117.9495607,Pontederia crassipes,common water hyacinth
105,3.186178333,101.629555,Pontederia crassipes,common water hyacinth
106,3.185945,101.6296,Pontederia crassipes,common water hyacinth
107,5.667683333,118.40072,Pontederia crassipes,common water hyacinth
108,5.504564708,118.267375,Pontederia crassipes,common water hyacinth
109,5.489961667,118.21115,Pontederia crassipes,common water hyacinth
110,5.407916667,117.9474117,Pontederia crassipes,common water hyacinth
111,5.667088341,118.4016717,Pontederia crassipes,common water hyacinth
112,4.39645,101.0524,Pontederia crassipes,common water hyacinth
113,5.478358333,100.2517083,Pontederia crassipes,common water hyacinth
114,5.407819468,117.9473816,Pontederia crassipes,common water hyacinth
115,2.133030556,111.5211083,Pontederia crassipes,common water hyacinth
116,2.278358333,111.8600444,Pontederia crassipes,common water hyacinth
117,2.989168011,101.7125228,Pontederia crassipes,common water hyacinth
118,6.40370027,100.1427549,Pontederia crassipes,common water hyacinth
119,3.104077833,101.6681133,Pontederia crassipes,common water hyacinth
120,3.1113445,101.64498,Pontederia crassipes,common water hyacinth
121,2.962213335,101.6345255,Pontederia crassipes,common water hyacinth
122,5.55888728,100.426842,Pontederia crassipes,common water hyacinth
123,2.267058026,102.2981711,Pontederia crassipes,common water hyacinth
124,5.189366667,118.5005972,Pontederia crassipes,common water hyacinth
125,2.964039972,101.698468,Pontederia crassipes,common water hyacinth
126,5.550685748,118.3609408,Pontederia crassipes,common water hyacinth
127,2.96430325,101.6946806,Pontederia crassipes,common water hyacinth
128,2.96440875,101.6947104,Pontederia crassipes,common water hyacinth
129,5.466159278,118.181559,Pontederia crassipes,common water hyacinth
130,5.35397629,100.3006535,Pontederia crassipes,common water hyacinth
131,5.489055556,118.2255083,Pontederia crassipes,common water hyacinth
132,5.490614749,118.3417383,Pontederia crassipes,common water hyacinth
133,5.496394447,118.2497042,Pontederia crassipes,common water hyacinth
134,5.50082,118.25788,Pontederia crassipes,common water hyacinth
135,5.35442,100.3004617,Pontederia crassipes,common water hyacinth
136,2.964326414,101.6944784,Pontederia crassipes,common water hyacinth
137,2.676980556,101.8836472,Pontederia crassipes,common water hyacinth
138,5.504565577,118.2700076,Pontederia crassipes,common water hyacinth
139,5.528086,118.304497,Pontederia crassipes,common water hyacinth
140,5.478289799,118.2144568,Pontederia crassipes,common water hyacinth
141,5.480403078,118.2588237,Pontederia crassipes,common water hyacinth
142,2.943953333,101.6944133,Pontederia crassipes,common water hyacinth
143,5.486356882,118.2632349,Pontederia crassipes,common water hyacinth
144,5.465483333,118.2533556,Pontederia crassipes,common water hyacinth
145,5.501561409,118.3050933,Pontederia crassipes,common water hyacinth
146,6.2910973,99.7317987,Pontederia crassipes,common water hyacinth
147,5.497451603,118.253322,Pontederia crassipes,common water hyacinth
148,5.486354288,118.2625876,Pontederia crassipes,common water hyacinth
149,6.288397222,99.73238333,Pontederia crassipes,common water hyacinth
150,5.486419444,118.2626639,Pontederia crassipes,common water hyacinth
151,2.854624556,112.6939109,Pontederia crassipes,common water hyacinth
152,6.292590602,99.73207887,Pontederia crassipes,common water hyacinth
153,1.519691667,110.3606033,Pontederia crassipes,common water hyacinth
154,2.245753333,102.3265833,Pontederia crassipes,common water hyacinth
155,5.50222576,118.2593314,Pontederia crassipes,common water hyacinth
156,5.868883058,117.9440529,Pontederia crassipes,common water hyacinth
157,3.08054045,101.7084827,Pontederia crassipes,common water hyacinth
158,3.07940759,101.7077701,Pontederia crassipes,common water hyacinth
159,4.7064108,103.4390753,Pontederia crassipes,common water hyacinth
160,4.706565,103.43798,Pontederia crassipes,common water hyacinth
161,4.706298333,103.437755,Pontederia crassipes,common water hyacinth
162,4.704120693,103.4386614,Pontederia crassipes,common water hyacinth
163,5.666730556,118.4005444,Pontederia crassipes,common water hyacinth
164,5.704870001,118.4149033,Pontederia crassipes,common water hyacinth
165,5.958349043,102.2515922,Pontederia crassipes,common water hyacinth
166,3.244897222,102.2497167,Pontederia crassipes,common water hyacinth
167,5.714770564,100.6571522,Pontederia crassipes,common water hyacinth
168,5.706963983,100.665298,Pontederia crassipes,common water hyacinth
169,1.486434837,104.190431,Pontederia crassipes,common water hyacinth
170,5.513331234,118.2950594,Pontederia crassipes,common water hyacinth
171,5.462831667,118.252845,Pontederia crassipes,common water hyacinth
172,1.555116667,103.6372967,Pontederia crassipes,common water hyacinth
173,3.641366227,101.9878364,Pontederia crassipes,common water hyacinth
174,3.842182769,101.3012885,Pontederia crassipes,common water hyacinth
175,5.666921667,118.4019133,Pontederia crassipes,common water hyacinth
176,6.3833078,116.4355418,Pontederia crassipes,common water hyacinth
177,2.2907314,111.8359789,Mikania micrantha,mile-a-minute
178,5.35665,100.2928617,Mikania micrantha,mile-a-minute
179,3.0375707,101.7933168,Mikania micrantha,mile-a-minute
180,3.030885458,101.7251587,Mikania micrantha,mile-a-minute
181,3.036791427,101.7252254,Mikania micrantha,mile-a-minute
182,2.698333263,101.9544449,Mikania micrantha,mile-a-minute
183,2.6981255,101.9555634,Mikania micrantha,mile-a-minute
184,3.714221402,101.7498713,Mikania micrantha,mile-a-minute
185,3.16083865,101.6831655,Mikania micrantha,mile-a-minute
186,3.037063271,101.5806482,Mikania micrantha,mile-a-minute
187,3.037663929,101.5804404,Mikania micrantha,mile-a-minute
188,3.12164,101.6532517,Mikania micrantha,mile-a-minute
189,3.038076502,101.5810449,Mikania micrantha,mile-a-minute
190,3.129411,101.660164,Mikania micrantha,mile-a-minute
191,3.019985113,101.6171762,Mikania micrantha,mile-a-minute
192,3.141106389,101.6969622,Mikania micrantha,mile-a-minute
193,3.126110547,101.6583924,Mikania micrantha,mile-a-minute
194,3.1356,101.6579033,Mikania micrantha,mile-a-minute
195,3.1356,101.6579033,Mikania micrantha,mile-a-minute
196,3.1356,101.6579033,Mikania micrantha,mile-a-minute
197,3.268708627,101.4579805,Mikania micrantha,mile-a-minute
198,5.438123333,103.03857,Mikania micrantha,mile-a-minute
199,2.706347942,101.9079514,Mikania micrantha,mile-a-minute
200,5.51509428,118.2996521,Mikania micrantha,mile-a-minute
201,2.29544903,113.0394313,Mikania micrantha,mile-a-minute
202,2.956104517,101.7846222,Mikania micrantha,mile-a-minute
203,2.445133034,101.8544851,Mikania micrantha,mile-a-minute
204,1.492659,103.7413591,Mikania micrantha,mile-a-minute
205,2.679836035,101.9028931,Mikania micrantha,mile-a-minute
206,2.691215038,101.8935242,Mikania micrantha,mile-a-minute
207,2.840979719,111.70338,Mikania micrantha,mile-a-minute
208,1.494718987,103.7766111,Mikania micrantha,mile-a-minute
209,1.494286261,103.7765929,Mikania micrantha,mile-a-minute
210,6.217690778,100.6151321,Mikania micrantha,mile-a-minute
211,4.817452538,101.0873492,Mikania micrantha,mile-a-minute
212,4.029103846,103.4015531,Mikania micrantha,mile-a-minute
213,3.347112889,101.790802,Mikania micrantha,mile-a-minute
214,2.676456944,101.906105,Mikania micrantha,mile-a-minute
215,1.843854,102.9480617,Mikania micrantha,mile-a-minute
216,2.2268814,102.2755406,Mikania micrantha,mile-a-minute
217,3.385305972,101.774905,Mikania micrantha,mile-a-minute
218,2.684614861,101.9188003,Mikania micrantha,mile-a-minute
219,1.556617384,103.6340986,Mikania micrantha,mile-a-minute
220,4.144445,103.4016,Mikania micrantha,mile-a-minute
221,2.733850179,101.9121965,Mikania micrantha,mile-a-minute
222,4.138308972,103.405918,Mikania micrantha,mile-a-minute
223,2.719794,101.8946991,Mikania micrantha,mile-a-minute
224,1.485559726,103.3878587,Mikania micrantha,mile-a-minute
225,2.997386,101.834258,Mikania micrantha,mile-a-minute
226,1.8805841,103.1450207,Mikania micrantha,mile-a-minute
227,3.180426667,101.60687,Mikania micrantha,mile-a-minute
228,2.056247846,102.5571112,Mikania micrantha,mile-a-minute
229,2.101388889,102.5794444,Mikania micrantha,mile-a-minute
230,1.84565325,103.0706593,Mikania micrantha,mile-a-minute
231,2.121281286,102.5902554,Mikania micrantha,mile-a-minute
232,2.11331213,102.5852799,Mikania micrantha,mile-a-minute
233,1.462222222,103.7305556,Mikania micrantha,mile-a-minute
234,4.262913361,101.9299481,Mikania micrantha,mile-a-minute
235,5.355513886,100.2959379,Mikania micrantha,mile-a-minute
236,5.354591799,100.3038074,Mikania micrantha,mile-a-minute
237,5.354801655,100.3027191,Mikania micrantha,mile-a-minute
238,5.383059687,100.2994683,Mikania micrantha,mile-a-minute
239,5.354924925,100.297098,Mikania micrantha,mile-a-minute
240,5.354448046,100.297831,Mikania micrantha,mile-a-minute
241,3.17868112,101.6070245,Mikania micrantha,mile-a-minute
242,5.349259004,100.2938869,Mikania micrantha,mile-a-minute
243,5.353104878,100.3050551,Mikania micrantha,mile-a-minute
244,5.35629037,100.3074917,Mikania micrantha,mile-a-minute
245,5.35629037,100.3074917,Mikania micrantha,mile-a-minute
246,2.959506581,101.8012114,Mikania micrantha,mile-a-minute
247,3.195181667,101.60953,Mikania micrantha,mile-a-minute
248,1.553616,103.6361963,Mikania micrantha,mile-a-minute
249,2.921322523,101.6372603,Mikania micrantha,mile-a-minute
250,3.039638,101.7951441,Mikania micrantha,mile-a-minute
251,2.26635766,102.1583405,Mikania micrantha,mile-a-minute
252,1.444585427,103.6221318,Mikania micrantha,mile-a-minute
253,3.2049067,101.6899254,Mikania micrantha,mile-a-minute
254,3.20242322,101.6942175,Mikania micrantha,mile-a-minute
255,3.175808522,101.6941229,Mikania micrantha,mile-a-minute
256,3.20977322,101.63996,Mikania micrantha,mile-a-minute
257,1.555821249,103.6384575,Mikania micrantha,mile-a-minute
258,3.068959539,101.6577013,Mikania micrantha,mile-a-minute
259,3.217573694,101.7504115,Mikania micrantha,mile-a-minute
260,3.182000128,101.5842227,Mikania micrantha,mile-a-minute
261,2.675303333,101.994745,Mikania micrantha,mile-a-minute
262,3.122272222,101.6484639,Mikania micrantha,mile-a-minute
263,3.1169693,101.5235599,Mikania micrantha,mile-a-minute
264,1.5536,103.635795,Mikania micrantha,mile-a-minute
265,1.553605,103.6358717,Mikania micrantha,mile-a-minute
266,1.553663333,103.6358633,Mikania micrantha,mile-a-minute
267,4.965841667,117.8039283,Mikania micrantha,mile-a-minute
268,1.280427889,103.5102175,Mikania micrantha,mile-a-minute
269,3.016887881,101.6902734,Mikania micrantha,mile-a-minute
270,3.029846285,101.4736979,Mikania micrantha,mile-a-minute
271,3.161124,101.735939,Mikania micrantha,mile-a-minute
272,1.492659,103.7413591,Mikania micrantha,mile-a-minute
273,3.12333242,101.6545854,Mikania micrantha,mile-a-minute
274,1.283645,103.5075769,Mikania micrantha,mile-a-minute
275,1.280186667,103.510155,Mikania micrantha,mile-a-minute
276,3.120527,101.649143,Mikania micrantha,mile-a-minute
277,3.1307945,101.7772833,Mikania micrantha,mile-a-minute
278,1.280652778,103.5102,Mikania micrantha,mile-a-minute
279,1.280219444,103.5102083,Mikania micrantha,mile-a-minute
280,3.286388889,101.4691667,Mikania micrantha,mile-a-minute
281,4.176858333,103.4091033,Mikania micrantha,mile-a-minute
282,3.063442837,101.6923467,Mikania micrantha,mile-a-minute
283,3.128887782,101.7750006,Mikania micrantha,mile-a-minute
284,2.495556585,102.8402975,Mikania micrantha,mile-a-minute
285,5.354104519,100.4497604,Mikania micrantha,mile-a-minute
286,1.538815925,110.2054001,Mikania micrantha,mile-a-minute
287,5.365834236,100.5359421,Mikania micrantha,mile-a-minute
288,3.051339146,101.704066,Mikania micrantha,mile-a-minute
289,3.109427214,101.3805618,Mikania micrantha,mile-a-minute
290,1.540871667,110.3502283,Mikania micrantha,mile-a-minute
291,1.461246667,103.643905,Mikania micrantha,mile-a-minute
292,3.05169973,101.751962,Mikania micrantha,mile-a-minute
293,2.736108333,101.8775861,Mikania micrantha,mile-a-minute
294,5.284709495,100.239685,Mikania micrantha,mile-a-minute
295,4.602508345,101.0816394,Mikania micrantha,mile-a-minute
296,4.606600693,101.0837055,Mikania micrantha,mile-a-minute
297,4.602078256,101.0827942,Mikania micrantha,mile-a-minute
298,4.60206625,101.0828022,Mikania micrantha,mile-a-minute
299,2.704244444,101.9123472,Mikania micrantha,mile-a-minute
300,2.578307498,102.7114684,Mikania micrantha,mile-a-minute
301,3.1228195,101.6265417,Mikania micrantha,mile-a-minute
302,3.100121,101.619105,Mikania micrantha,mile-a-minute
303,3.120904606,101.6538414,Mikania micrantha,mile-a-minute
304,1.485368,103.761815,Mikania micrantha,mile-a-minute
305,3.161247207,101.7469971,Mikania micrantha,mile-a-minute
306,1.203714371,111.4673767,Mikania micrantha,mile-a-minute
307,3.161258333,101.7471889,Mikania micrantha,mile-a-minute
308,3.226211111,101.7786,Mikania micrantha,mile-a-minute
309,3.019744298,101.6164158,Mikania micrantha,mile-a-minute
310,3.151461361,101.7409472,Mikania micrantha,mile-a-minute
311,2.20383963,103.551923,Mikania micrantha,mile-a-minute
312,3.550933458,101.2010081,Mikania micrantha,mile-a-minute
313,2.098122222,111.5130806,Mikania micrantha,mile-a-minute
314,3.097074107,101.5906114,Mikania micrantha,mile-a-minute
315,6.088247295,116.4370784,Mikania micrantha,mile-a-minute
316,2.718069444,101.9096611,Mikania micrantha,mile-a-minute
317,2.28373,113.03136,Mikania micrantha,mile-a-minute
318,5.817983333,116.3425317,Mikania micrantha,mile-a-minute
319,5.871213333,117.9423267,Mikania micrantha,mile-a-minute
320,5.877156667,117.94323,Mikania micrantha,mile-a-minute
321,5.877156667,117.94323,Mikania micrantha,mile-a-minute
322,5.946763333,116.046915,Mikania micrantha,mile-a-minute
323,3.175661111,101.7748917,Mikania micrantha,mile-a-minute
324,5.346136667,100.4651333,Mikania micrantha,mile-a-minute
325,3.017925,101.6143917,Mikania micrantha,mile-a-minute
326,3.173352778,101.5020778,Mikania micrantha,mile-a-minute
327,3.173347222,101.5021444,Mikania micrantha,mile-a-minute
328,1.572022459,110.2997169,Mikania micrantha,mile-a-minute
329,1.559683333,103.6254417,Mikania micrantha,mile-a-minute
330,1.557656449,103.6339672,Mikania micrantha,mile-a-minute
331,1.556540793,103.6341863,Mikania micrantha,mile-a-minute
332,1.55671,103.6342783,Mikania micrantha,mile-a-minute
333,1.559085871,103.6338391,Mikania micrantha,mile-a-minute
334,1.556591972,103.6341171,Mikania micrantha,mile-a-minute
335,1.555708333,103.6385283,Mikania micrantha,mile-a-minute
336,1.561866386,103.6554996,Mikania micrantha,mile-a-minute
337,1.561866386,103.6554996,Mikania micrantha,mile-a-minute
338,3.036957604,101.6971865,Mikania micrantha,mile-a-minute
339,3.037143445,101.6970567,Mikania micrantha,mile-a-minute
340,4.4845856,114.0295587,Mikania micrantha,mile-a-minute
341,2.970078564,101.6951066,Mikania micrantha,mile-a-minute
342,2.28034,112.9773733,Mikania micrantha,mile-a-minute
343,3.294731667,101.73078,Mikania micrantha,mile-a-minute
344,3.294763333,101.73082,Mikania micrantha,mile-a-minute
345,2.91752231,101.7062393,Mikania micrantha,mile-a-minute
346,2.934833333,101.6868,Mikania micrantha,mile-a-minute
347,2.96214351,101.6956538,Mikania micrantha,mile-a-minute
348,2.92804399,101.7005231,Mikania micrantha,mile-a-minute
349,3.292941667,101.73008,Mikania micrantha,mile-a-minute
350,2.9489627,101.6776199,Mikania micrantha,mile-a-minute
351,2.882905556,101.7931139,Mikania micrantha,mile-a-minute
352,2.89663633,101.6642116,Mikania micrantha,mile-a-minute
353,2.923183333,101.7030117,Mikania micrantha,mile-a-minute
354,2.9423018,101.6729523,Mikania micrantha,mile-a-minute
355,5.354271667,100.2981167,Mikania micrantha,mile-a-minute
356,5.354704,100.2984896,Mikania micrantha,mile-a-minute
357,3.388805,101.8307483,Mikania micrantha,mile-a-minute
358,5.357411667,100.3069,Mikania micrantha,mile-a-minute
359,5.357391667,100.30687,Mikania micrantha,mile-a-minute
360,2.94120198,101.6702182,Mikania micrantha,mile-a-minute
361,2.963123333,101.6761367,Mikania micrantha,mile-a-minute
362,2.96198234,101.6951239,Mikania micrantha,mile-a-minute
